Letter ID,Title,Date,Creator,Top Terms (comma-separated)
26,"Død i Amerika Clipping John Holm Obituary 1948",1948,"Siri Lawson, trans.","survived(0.071), blacksmith(0.061), holmsplass(0.047), trøite(0.041), summers(0.038), peter(0.038), stjørdalshalsen(0.038), hembre(0.035), wet(0.035), childhood(0.035)"
27,"John Holm to Axel Holm 1946.7.8 Partial Letter",1946.07.08,"John Holm","bank(0.141), transcript(0.094), signature(0.094), hundred(0.088), sparebank(0.073), share(0.073), equal(0.059), køhler(0.059), stamped(0.059), 025(0.059)"
28,"Axel Holm to Alma C. Wilson 1952.3.1",1952.03.01,"Axel Holm","relationship(0.059), misery(0.059), jesus(0.036), 1952(0.034), atonement(0.034), victorious(0.034), housekeeper(0.034), believer(0.034), riley(0.034), tribulations(0.034)"
29,"Axel Holm to John Holm 1947.7.2",1947.07.02,"Axel Holm","rock(0.064), boulders(0.040), opdal(0.033), lord(0.030), covered(0.028), ground(0.026), promise(0.026), sin(0.025), god(0.024), gave(0.023)"
30,"Axel Holm to John Holm 1938.3.2",1938.03.02,"Axel Holm","life(0.041), song(0.030), road(0.029), snow(0.029), march-1938(0.027), sound(0.027), clouds(0.027), thorns(0.027), rhimes(0.027), begins(0.027)"
31,"Axel Holm to Alma C. Wilson 1949.4.3",1949.04.03,"Axel Holm","seeds(0.079), die(0.042), sow(0.039), selbuskogen(0.039), forest(0.039), reheated(0.039), sauce(0.039), forms(0.039), salaries(0.039), offices(0.039)"
32,"Axel Holm to John Holm 1945.12.3",1945.12.03,"Axel Holm","hans(0.050), excellent(0.039), sme(0.039), nils(0.036), pairs(0.034), gloves(0.032), blanket(0.029), knives(0.026), jacket(0.026), unlucky(0.026)"
33,"Axel Holm to John Holm 1947.6.3",1947.06.03,"Axel Holm","utsyn(0.059), 3rd(0.046), herborg(0.044), 35th(0.034), article(0.034), were15(0.034), leaf(0.034), magic(0.034), rays(0.034), sprouted(0.034)"
34,"Axel Holm to John Holm 1918.3.3",1918.03.03,"Axel Holm","lord(0.082), sofar(0.073), ill(0.061), jesus(0.057), 3-3-1918(0.054), wicked(0.054), withheld(0.054), pierced(0.054), stjørdalen(0.050), praised(0.047)"
35,"Axel Holm to Alma C. Wilson 1945.10.3",1945.10.03,"Axel Holm","burnt(0.043), christ(0.033), destruction(0.033), german(0.030), towards(0.026), 3-10-45(0.025), civilian(0.025), motors(0.025), motor(0.025), heap(0.025)"
36,"Axel Holm to John Holm 1947.10.3",1947.10.03,"Axel Holm","bus(0.038), fields(0.030), potatoes(0.027), name(0.026), mountain(0.026), wonder(0.026), illustrates(0.026), speed(0.026), passengers(0.026), luckily(0.026)"
37,"Axel Holm to John Holm 1919.4.4",1919.04.04,"Axel Holm","krone(0.077), 1st(0.038), order(0.034), heaven(0.033), longer(0.032), 1919(0.029), thousands(0.029), buckled(0.029), 16-1918(0.029), havdahl(0.029)"
38,"Axel Holm to John Holm 1917.2.5",1917.02.05,"Axel Holm","øian(0.147), praise(0.130), jesus(0.107), gathered(0.071), magrethe(0.067), peder(0.059), salvation(0.050), follow(0.050), lord(0.038), heaven(0.038)"
39,"Axel Holm to Alma C. Wilson 1946.2.5",1946.02.05,"Axel Holm","arrested(0.042), parties(0.035), package(0.031), february-1946(0.028), delivers(0.028), foreman(0.028), freemasons(0.028), rumoured(0.028), expand(0.028), langsund(0.028)"
40,"Axel Holm to John Holm 1946.8.7",1946.08.07,"Axel Holm","pr(0.050), raspberries(0.039), 1(0.038), farm(0.034), berries(0.029), big(0.027), land(0.025), potatoes(0.024), inventory(0.022), storkjynna(0.022)"
41,"Axel Holm to Alma C. Wilson 1946.12.7",1946.12.07,"Axel Holm","obituary(0.033), strength(0.033), hembre(0.031), hans(0.031), blacksmith(0.027), newspaper(0.026), christmas(0.025), johan(0.023), helga(0.022), 7-12-1946(0.021)"
42,"Axel Holm to Alma C. Wilson 1947.9.8",1947.09.08,"Axel Holm","picking(0.042), sewing(0.041), china(0.039), alive(0.033), 8-9-1947(0.031), valleys(0.031), attracted(0.031), chinese(0.031), wretched(0.031), couldn(0.030)"
43,"Axel Holm to Karoline Holm 1948.7.9",1948.07.09,"Laura Karlson","share(0.070), julay(0.060), gjertine(0.049), gift(0.047), savings(0.047), bank(0.045), olava(0.044), dated(0.041), absent(0.038), stipulation(0.038)"
44,"Axel Holm to Alma C. Wilson 1948.6.9",1948.06.09,"Axel Holm","papers(0.079), shape(0.074), gift(0.062), 9-6-48(0.050), income(0.050), withdrawn(0.050), regrettable(0.050), tumor(0.043), lung(0.043), treatment(0.043)"
45,"Axel Holm to John Holm 1946.7.10",1946.07.10,"Axel Holm","acid(0.053), 1(0.052), contained(0.037), blanket(0.034), state(0.034), 10-7-1946(0.026), undershirt(0.026), key(0.026), crowbar(0.026), depends(0.026)"
46,"Axel Holm to John Holm 1946.12.11",1946.12.11,"Axel Holm","ax(0.138), dec(0.061), inclosed(0.057), enok(0.057), rode(0.057), glimpse(0.057), 11th(0.050), -1946(0.050), berg(0.050), 37(0.046)"
47,"Axel Holm to Alma C. Wilson 1948.4.15",1948.04.15,"Axel Holm","bank(0.044), fear(0.039), met(0.029), 15-4-48(0.028), collecting(0.028), contributions(0.028), generous(0.028), trøvle(0.028), guessing(0.028), safekeeping(0.028)"
48,"Axel Holm to Alma C. Wilson 1948.3.16",1948.03.16,"Axel Holm","bank(0.076), money(0.054), norges(0.033), withdraw(0.032), ole(0.031), estate(0.031), try(0.030), gift(0.029), immediately(0.028), kept(0.027)"
49,"Axel Holm to John Holm 1947.8.17",1947.08.17,"Axel Holm","jarl(0.051), sundalsøra(0.047), mountain(0.046), sona(0.032), railroad(0.030), mountains(0.029), stokke(0.029), fish(0.029), rock(0.029), childhood(0.027)"
50,"Axel Holm to John Holm 1946.7.17",1946.07.17,"Axel Holm","plane(0.040), the15th(0.033), sets(0.033), swing(0.033), 39(0.033), rapid(0.033), trains(0.033), jog-trotting(0.033), busier(0.033), nestna(0.033)"
51,"Mathilda Halvorson to Karoline Holm 1911.10.10",1911.10.10,"Mathilda Halvorson","alkoly(0.084), signe(0.084), deadwood(0.084), sturges(0.084), raise(0.084), dry(0.073), immediately(0.050), town(0.042), 1911(0.042), helmer(0.042)"
