Letter ID,Title,Date,Creator,Top Terms (comma-separated)
118,"Laura Karlson to John Holm 1946.3.24",1946.03.24,"Laura Karlson","helga(0.042), 3-46(0.040), unspeakably(0.040), lasts(0.040), hangs(0.040), recede(0.040), tablettes(0.040), system(0.040), mindor(0.040), real(0.036)"
119,"Herborg Holm to John Holm 1946.3.28",1946.03.28,"Herborg Holm","kårkaill(0.026), eilif(0.024), 180(0.023), cheerful(0.023), arne(0.022), tall(0.021), hegra(0.020), check(0.020), spirits(0.018), father(0.018)"
120,"Ola Holm to John Holm 1946.5.11",1946.05.11,"Ola Holm","shoes(0.048), american(0.035), copying(0.030), ee(0.030), edge(0.030), size(0.029), sheet(0.026), pair(0.022), copy(0.021), english(0.020)"
121,"Edvard Eidum to Alma C. Wilson 1946.6.9",1946.06.09,"Edvard Eidum","gusta(0.048), beautiful(0.028), dress(0.026), 7-1946(0.025), childre(0.025), lofoten(0.025), vacationing(0.025), undertake(0.025), favour(0.025), paradise(0.025)"
122,"Ola Holm to John Holm 1946.6.17",1946.06.17,"Ola Holm","local(0.029), writings(0.029), attention(0.029), guy(0.029), spirits(0.023), spot(0.023), warmly(0.020), expensive(0.017), 17-6-46(0.016), sululand(0.016)"
123,"Edvard Eidum to John Holm 1946.6.26",1946.06.28,"Edvard Eidum","sun(0.040), meet(0.035), 6-1946(0.025), virulent(0.025), rivet(0.025), medical(0.025), parted(0.025), telegrams(0.025), tuberculose(0.025), moses(0.025)"
124,"Ola Holm to John Holm 1946.6.22",1946.06.22,"Ola Holm","22-46(0.046), cookin(0.046), jog(0.046), trot(0.046), lazy(0.046), priceless(0.046), plugs(0.046), switches(0.046), someday(0.046), prospects(0.046)"
125,"Herborg Holm to Alma C. Wilson 1946.6.29",1946.06.29,"Herborg Holm","feet(0.036), 6(0.028), 92(0.027), james(0.023), father(0.021), june(0.020), cm(0.020), aunt(0.017), tall(0.016), mountain(0.016)"
126,"Ola Holm to John Holm 1946.7.14",1946.07.14,"Ola Holm","prices(0.038), regard(0.034), nobody(0.034), travel(0.034), 14-7-46(0.031), hearted(0.031), vacations(0.031), everyday(0.031), hullabaloo(0.027), wrenches(0.027)"
127,"Klara Krogstad to John Holm 1946.7.14",1946.07.14,"Klara Krogstad","mary(0.038), used(0.034), side(0.032), using(0.031), sluppen(0.030), farbror(0.030), fatherbrother(0.030), exception(0.030), maternal(0.030), mothermother(0.030)"
128,"Ola Holm to John Holm 1946.7.27",1946.07.27,"Ola Holm","travel(0.060), narrow(0.049), shoes(0.046), nobody(0.040), pleasure(0.039), 27-46(0.036), somewhere(0.036), difficults(0.036), profits(0.036), toki(0.036)"
129,"Laura Karlson to John Holm 1946.8.2",1946.08.02,"Laura Karlson","beret(0.109), sore(0.055), headache(0.055), relatives(0.048), 8-1946(0.047), jorun(0.047), include(0.044), comfortable(0.042), 70th(0.042), pleased(0.040)"
130,"Edvard Eidum to John Holm 1946.8.14",1946.08.14,"Edvard Eidum","ring(0.078), parents(0.049), watch(0.044), opened(0.036), knives(0.036), gotten(0.034), packages(0.028), named(0.025), everything(0.024), aksel(0.024)"
131,"Klara Krogstad to John Holm 1946.8.25",1946.08.25,"Klara Krogstad","grade(0.087), school(0.067), 7th(0.060), daughter(0.048), fare(0.047), goind(0.047), 95th(0.047), overkott(0.047), 25th(0.041), obligatory(0.041)"
132,"Axel Holm to John Holm 1946.8.29",1946.08.29,"Axel Holm","korn(0.076), wheat(0.066), ripening(0.038), mais(0.038), grain(0.038), outing(0.038), flora(0.038), neighbouring(0.038), cranberry(0.038), romsjø(0.038)"
133,"Ola Holm to John Holm 1946.8.30",1946.08.30,"Ola Holm","materials(0.038), nothing(0.037), prices(0.036), earn(0.035), pipestone(0.029), luvern(0.029), outlook(0.029), vassals(0.029), exorbitant(0.029), 54(0.029)"
134,"Herborg Holm to John Holm 1946.9.5",1946.09.05,"Herborg Holm","pair(0.038), leather(0.032), shoes(0.024), slippers(0.022), swelled(0.022), trollhetta(0.022), tokens(0.022), cabins(0.019), rocks(0.019), trampled(0.019)"
135,"Gusta Eidum to John Holm 1946.9.5",1946.09.05,"Gusta Eidum","unsure(0.049), uncle(0.046), 5-9-46(0.043), toiling(0.043), hardest(0.039), problem(0.039), sister(0.034), find(0.033), reward(0.032), clothes(0.030)"
136,"Laura Karlson to John Holm 1946.9.10",1946.09.10,"Laura Karlson","beg(0.044), mindor(0.033), 10-9-46(0.025), needing(0.025), aparatuses(0.025), razor(0.025), costumes(0.025), cooking(0.025), greis(0.025), youre(0.025)"
137,"Herborg Holm to John Holm Stamped 1946.7.20",1946.07.20,"Herborg Holm","slippers(0.115), slips(0.099), towels(0.085), pr(0.085), trollheimen(0.080), shake(0.057), toweling(0.057), fit(0.051), sweater(0.050), ties(0.050)"
138,"Ola Holm to John Holm 1946.10.21",1946.10.21,"Ola Holm","plane(0.032), hers(0.031), packages(0.027), nothing(0.027), 21-10-46(0.027), alterations(0.027), robbing(0.027), prosperity(0.027), connections(0.027), packed(0.027)"
139,"Klara Krogstad to Alma C. Wilson 1946.10.26",1946.10.26,"Klara Krogstad","ha(0.029), daughter(0.028), svenn(0.026), apartment(0.025), jon(0.020), husband(0.019), lucky(0.019), 10-11(0.018), levangernesset(0.018), paul(0.018)"
140,"Edvard Eidum to John Holm 1946.11.7",1946.11.07,"Edvard Eidum","memories(0.030), itself(0.030), prayer(0.027), youth(0.025), widow(0.021), 11-1946(0.021), hight(0.021), affected(0.021), annihilated(0.021), removed(0.021)"
141,"Herborg Holm to John Holm 1946.10.30",1946.10.30,"Herborg Holm","shoes(0.046), blouse(0.037), turtle(0.036), hotsy(0.036), totsy(0.036), london(0.029), bet(0.027), heels(0.026), 1(0.025), wood(0.024)"
142,"Axel Holm to John Holm 1946.11.24",1946.11.24,"Axel Holm","watch(0.057), shaving(0.053), sødderman(0.053), thoughts(0.053), kg(0.043), 1(0.030), helge(0.029), christmas(0.027), trousers(0.027), blouses(0.027)"
143,"Ola Holm to John Holm 1946.11.29",1946.11.29,"Ola Holm","dress(0.070), 29-11-46(0.067), congestion(0.067), respiratory(0.067), vests(0.067), energy(0.067), suit(0.067), difficulty(0.059), cough(0.059), headache(0.059)"
144,"Herborg Holm to John Holm 1946.11.29",1946.11.29,"Herborg Holm","feet(0.036), 6(0.028), 92(0.027), james(0.023), father(0.021), june(0.020), cm(0.020), aunt(0.017), tall(0.016), mountain(0.016)"
145,"Klara Krogstad to John Holm 1946.12.1",1946.12.01,"Klara Krogstad","ha(0.048), steady(0.042), pension(0.042), railroads(0.036), thread(0.032), erling(0.031), sluppen(0.030), greatly(0.030), indebted(0.030), chicken(0.030)"
146,"Laura Karlson to John Holm 1946.12.12",1946.12.12,"Laura Karlson","marvelous(0.088), preparing(0.070), galoshes(0.059), thousand(0.045), christmas(0.045), 12-1946(0.044), tha(0.044), merry(0.043), fit(0.039), sheet(0.038)"
147,"Herborg Holm to John Holm 1946.12.28",1946.12.28,"Herborg Holm","christmas(0.050), tree(0.035), mittens(0.032), baking(0.026), selbu(0.023), parties(0.023), hand(0.020), father(0.019), yearly(0.019), flowery(0.019)"
148,"Ola Holm to John Holm 1947.1.4",1947.01.04,"Ola Holm","trønder(0.049), wear(0.029), 4-7-47(0.028), 6-7(0.028), winer(0.028), unhealthy(0.028), pacakge(0.028), summertime(0.028), bewitched(0.028), kapitalists(0.028)"
149,"Olava Holm to John Holm 1947.1.22",1947.01.22,"Olava Holm","dry(0.052), aksel(0.052), alters(0.045), dieing(0.045), peek(0.045), law(0.041), conrad(0.040), rained(0.039), kind(0.036), snowed(0.036)"
150,"Klara Krogstad to Alma C. Wilson 1947",1947,"Klara Krogstad","cm(0.102), boy(0.058), errand(0.052), strictly(0.052), 60th(0.052), 110(0.052), 115(0.052), waist(0.052), mittens(0.046), pattern(0.046)"
151,"Ola Holm to John Holm 1947.2.4",1947.02.04,"Ola Holm","4-2-47(0.050), fiddling(0.050), spunky(0.050), winter(0.049), tailor(0.044), larger(0.044), sandstorms(0.044), sunshine(0.044), summer(0.043), rest(0.040)"
152,"Laura Karlson to John Holm 1947.2.4",1947.02.04,"Laura Karlson","sometime(0.051), aksel(0.049), 2-1947(0.043), unluckiest(0.043), slacking(0.043), postcards(0.043), mindor(0.042), caring(0.037), humor(0.034), 65(0.032)"
153,"Gusta Eidum to John Holm 1947.3.9",1947.03.09,"Gusta Eidum","knife(0.065), uncle(0.053), tournament(0.048), hundreds(0.048), 9-3-47(0.042), souvenir(0.042), helps(0.042), sacrificed(0.042), tank(0.042), sport(0.038)"
154,"Gusta Eidum to Alma C. Wilson 1947.4",1947.04,"Gusta Eidum","looked(0.049), cousin(0.046), tops(0.038), anthem(0.038), norske(0.038), mand(0.038), hus(0.038), hytte(0.038), takk(0.038), din(0.038)"
155,"Herborg Holm to John Holm 1947.3.21",1947.03.21,"Herborg Holm","raincoat(0.032), curious(0.026), box(0.025), pot(0.024), pudding(0.024), husbands(0.024), laugh(0.019), ha-ha(0.019), worries(0.019), father(0.019)"
156,"Edvard Eidum to John Holm 1947.4.9",1947.04.09,"Edvard Eidum","ore(0.071), victory(0.033), ships(0.031), easter(0.028), pain(0.027), likewise(0.026), top(0.023), water(0.023), 4-1947(0.021), weighing(0.021)"
157,"Klara Krogstad to Alma C. Wilson 1947.4.19",1947.04.19,"Klara Krogstad","kolstad(0.086), april(0.052), floss(0.047), inger(0.047), 24(0.046), announcement(0.043), fiance(0.043), yarn(0.040), lady(0.031), meantime(0.027)"
158,"Herborg Holm to John Holm 1947.5.20",1947.05.20,"Herborg Holm","kr(0.034), rate(0.021), arm(0.021), inger(0.019), fun(0.017), ivar(0.017), dollar(0.016), watch(0.015), johan(0.015), worth(0.014)"
159,"Laura Karlson to John Holm 1947.5.20",1947.05.20,"Laura Karlson","handle(0.044), everybody(0.042), bothered(0.041), 5-1947(0.040), stove(0.040), lye(0.040), proverb(0.040), desirable(0.040), mindor(0.040), arthritis(0.039)"
160,"Axel Holm to John Holm 1947.5.20",1947.05.20,"Axel Holm","ragnhild(0.094), trøite(0.074), joneta(0.034), jonetta(0.034), olsson(0.034), lars(0.034), meet(0.030), dept(0.029), ole(0.028), ev(0.027)"
161,"Sonja Bakken to John Holm 1947.6.10",1947.06.10,"Sonja Bakken","trondheim(0.047), sonja(0.046), husband(0.045), domkirke(0.043), personal(0.043), concerts(0.043), klostergaten(0.043), 36a(0.043), receiving(0.038), widower(0.038)"
162,"Evelyn Holm to John Holm 1947.6.10",1947.06.10,"Evelyn Holm","father(0.043), wears(0.041), suits(0.036), strangers(0.034), america(0.032), brought(0.032), three(0.030), asking(0.030), sonja(0.027), 10-6-47(0.025)"
163,"Herborg Holm to John Holm 1947.7.1",1947.07.01,"Herborg Holm","exchanged(0.055), biking(0.029), banks(0.024), tent(0.024), pulling(0.024), weeds(0.024), firewood(0.022), money(0.020), uncle(0.019), blanket(0.019)"
164,"Edvard Eidum to Alma C. Wilson 1947.7.27",1947.07.27,"Edvard Eidum","hilma(0.034), strangers(0.032), hers(0.028), therefore(0.025), visited(0.025), sjomm(0.024), estimated(0.024), 2450(0.024), temperament(0.024), intimacy(0.024)"
165,"Edvard Eidum to John Holm 1947.7.27",1947.07.27,"Edvard Eidum","exchanged(0.040), rest(0.032), fristad(0.026), joshua(0.026), chapter(0.026), hanna(0.026), gusta(0.026), sword(0.023), palm(0.023), away(0.023)"
166,"Laura Karlson to John Holm 1947.7.29",1947.07.29,"Laura Karlson","almas(0.056), edevart(0.049), 7-1947(0.045), aksel(0.043), firewood(0.042), 34(0.042), steady(0.040), headaches(0.040), mindor(0.037), 29(0.034)"
167,"Ola Holm to John Holm 1947.7.30",1947.07.30,"Ola Holm","ink(0.112), goat(0.074), satisfied(0.053), lakselvbukt(0.037), ball(0.037), wells(0.037), 1955(0.037), solitude(0.037), hustle(0.037), bustle(0.037)"
168,"Evelyn Holm to John Holm 1947.7.31-8.1",1947.07.31,"Evelyn Holm","jon(0.035), vacation(0.027), money(0.022), envelope(0.021), north(0.021), evelyn(0.019), made(0.018), started(0.018), dated(0.017), august(0.017)"
169,"Klara Krogstad to John Holm 1947.8.7",1947.08.07,"Klara Krogstad","unwell(0.049), solheim(0.029), 7-8-47(0.029), pouring(0.029), ordinarily(0.029), crippled(0.029), miles(0.028), uncle(0.027), americans(0.026), 95(0.026)"
170,"Laura Karlson to John Holm 1947.8.13",1947.08.13,"Laura Karlson","kr(0.056), firewood(0.052), bought(0.040), aksel(0.040), 8-1947(0.035), wallet(0.035), waste(0.035), modest(0.035), lights(0.035), cooker(0.035)"
171,"Sonja Bakken to John Holm 1947.8.17",1947.08.17,"Sonja Bakken","lap(0.071), newspapers(0.053), belong(0.046), age(0.044), feels(0.044), saved(0.037), pastor(0.035), recognized(0.035), surrounded(0.035), crowded(0.035)"
172,"Evelyn Holm to Alma C. Wilson 1947.9.2",1947.09.02,"Evelyn Holm","car(0.068), n(0.039), together(0.036), u(0.031), hankerchief(0.030), pointless(0.030), tag(0.030), sør(0.030), herbert(0.030), helgesen(0.030)"
173,"Evelyn Holm to Grace A. Wilson 1947.9.2",1947.09.02,"Evelyn Holm","woven(0.062), thousind(0.031), hanchief(0.031), hankchef(0.031), ofcourse(0.031), lungs(0.031), wartime(0.031), pleurisy(0.031), reed(0.031), toobad(0.031)"
174,"Klara Krogstad to John Holm 1947.9.7",1947.09.07,"Klara Krogstad","jon(0.090), pilot(0.054), fingers(0.054), poles(0.054), swollen(0.054), stiff(0.054), determines(0.054), arthritis(0.053), inherit(0.048), neighborhood(0.048)"
175,"Evelyn Holm to John Holm 1947.9.15",1947.09.15,"Evelyn Holm","helga(0.031), writes(0.030), 9-47(0.030), greetngs(0.030), wowen(0.030), skis(0.030), auntie(0.029), arthritis(0.029), 15(0.026), collect(0.026)"
176,"Edvard Eidum to John Holm 1947.9.21",1947.09.21,"Edvard Eidum","signs(0.042), partly(0.036), hanna(0.035), visitors(0.029), regard(0.027), 9-1947(0.024), serving(0.024), edges(0.024), srange(0.024), upheld(0.024)"
177,"Herborg Holm to John Holm Card 1947 Summer",1947,"Herborg Holm","miles(0.184), østersund(0.152), tent(0.152), beautiful(0.143), sleep(0.123), 27(0.118), bike(0.107), sweden(0.082), wonderful(0.079), together(0.075)"
178,"Herborg Holm to John Holm 1947.9.24",1947.09.24,"Herborg Holm","dollar(0.035), notes(0.031), østersund(0.028), exchanged(0.026), kroner(0.026), -(0.024), ø(0.023), precipitous(0.023), dressed(0.020), etc(0.019)"
179,"Laura Karlson to John Holm 1947.10.4",1947.10.04,"Laura Karlson","potato(0.086), short(0.054), potatoes(0.052), 10-1947(0.049), ruin(0.049), almost(0.048), hire(0.043), various(0.042), strange(0.039), farmers(0.039)"
180,"Klara Krogstad to John Holm 1947.10.12",1947.10.12,"Klara Krogstad","dinner(0.066), cut(0.062), potatoes(0.057), prepare(0.053), accidentally(0.053), ride(0.047), apricots(0.047), guessed(0.047), washing(0.043), photographer(0.043)"
181,"Evelyn Holm to Alma C. Wilson",1947.10.15,"Evelyn Holm","berith(0.057), grace(0.044), 15-10-47(0.040), charming(0.040), pet(0.040), norwegian-americans(0.040), married(0.040), occasions(0.035), postponed(0.035), princess(0.035)"
182,"Edvard Eidum to Alma C. Wilson 1947.10.31",1947.10.31,"Edvard Eidum","lyder(0.034), words(0.030), ship(0.029), 68(0.025), english(0.024), harsh(0.024), baltimore(0.024), baltimar(0.024), fotos(0.024), birth-day(0.024)"
183,"Evelyn Holm to Alma C. Wilson 1947.11.20",1947.11.20,"Evelyn Holm","bedspread(0.064), something(0.045), 20-11-47(0.040), token(0.040), factories(0.040), pink(0.040), desperate(0.040), undersand(0.040), impudent(0.040), beddspredd(0.040)"
184,"Edvard Eidum to Alma C. Wilson 1947.12.4",1947.12.04,"Edvard Eidum","den(0.262), sovende(0.262), dronning(0.262), range(0.262), natural(0.262), phenomena(0.262), 4-12-47(0.262), mountain(0.133), merry(0.127), narvik(0.121)"
185,"Herborg Holm to Alma C. Wilson 1947.12.7",1947.12.07,"Herborg Holm","cake(0.079), cream(0.056), christmas(0.046), brewed(0.037), ribs(0.037), hoarding(0.037), whipped(0.037), etc(0.031), goods(0.031), polished(0.030)"
186,"Effie Holm to Alma C. Wilson 1947.12.14",1947.12.14,"Effie Holm","fornebu(0.091), switchboard(0.057), room(0.050), lufthavn(0.050), heim(0.049), tr(0.047), activity(0.045), traffic(0.045), effie(0.042), oslo(0.041)"
187,"Effie Holm to John Holm 1947.12.14",1947.12.14,"Effie Holm","effie(0.040), tree(0.033), 10-12-47(0.027), collects(0.027), starving(0.027), besten(0.027), lovely(0.026), outside(0.025), sisters(0.024), 12-47(0.023)"
188,"Ola Holm to Alma C. Wilson Card 1947.12.15",1947.12.15,"Ola Holm","whats(0.275), florences(0.275), adres(0.275), xmas(0.240), happines(0.240), 47(0.171), niece(0.171), folks(0.171), dec(0.147), joy(0.133)"
189,"Edvart Søberg to John Holm 1947.12.21",1947.12.21,"Edvart Søberg","du(0.134), bus(0.089), english(0.081), edvart(0.072), school(0.064), 21-12-47(0.060), spek(0.060), native(0.060), winter-day(0.060), lorry(0.060)"
190,"Klara Krogstad to Alma C. Wilson 1947.12.28",1947.12.28,"Klara Krogstad","hold(0.047), aunt(0.039), 18-12(0.035), ears(0.035), bothers(0.035), existence(0.035), picky(0.035), complicated(0.035), kettle(0.035), church(0.034)"
191,"Axel Holm to Alma C. Wilson",1948 (?),"Axel Holm","memory(0.189), met(0.179), newspapers(0.171), greeted(0.143), lord(0.131), helga(0.120), find(0.115), sending(0.102), johan(0.097), words(0.086)"
192,"Information Found in a Bible Undated",Unknown,"Unknown","buried(0.157), born(0.125), northwood(0.111), 2-1910(0.111), 4-1910(0.111), february(0.104), iowa(0.089), oct(0.069), hegre(0.067), page(0.065)"
193,"Conrad Lauritz Holm Death Obituary 1943",1943,"Unknown","hegra(0.148), temperance(0.138), store(0.098), merchan(0.069), lundgren(0.069), 1900(0.069), firm(0.069), a-s(0.069), schwer(0.069), samvirkelag(0.069)"
195,"Edvard Eidum Card with Psalm Undated",Unknown,"Edvard Eidum","basically(0.344), joys(0.344), verses(0.301), sorrows(0.301), quietly(0.275), comfort(0.243), help(0.218), share(0.214), using(0.179), needed(0.175)"
196,"Old Song Undated",Unknown,"Unknown","song(0.079), escapes(0.072), paris(0.072), enlists(0.072), thigh(0.072), invalid(0.072), beggar(0.072), incomplete(0.072), evansville(0.072), douglas(0.072)"
197,"Miranda to Alma C. Wilson and Grace Wilson 1946",1946,"Unknown","im(0.070), ports(0.048), mom(0.042), pal(0.032), wks(0.032), maby(0.032), ill(0.027), ha(0.026), ever(0.025), sure(0.024)"
198,"Funeral of Johan Øyan Undated",Unknown,"Unknown","translation(4.403)"
199,"Mrs. Hall to Karoline Holm Undated",Unknown,"Unknown","animia(0.485), onamia(0.324), minn(0.259), -(0.168), roads(0.162), hall(0.162), 2011(0.162), corrected(0.162), tror(0.162), er(0.162)"
200,"Ola Holm to Alma C. Wilson Undated",Unknown,"Ola Holm","calender(0.393), bert(0.393), chickengarden(0.393), bunch(0.294), thanks(0.156), ole(0.129), greet(0.109), uncle(0.073), fine(0.067), write(0.039)"
201,"Ola Holm 85th Birthday Clipping 1963",1963,"Unknown","caves(0.159), repair(0.075), later(0.063), dakota(0.058), places(0.056), kongens(0.053), gate(0.053), 93(0.053), 85(0.053), indian(0.053)"
202,"Einar Holm to John Holm 1948.1.4",1948.01.04,"Einar Holm","helge(0.075), 1945(0.048), forces(0.048), toys(0.041), sweden(0.035), military(0.030), 28th(0.027), friberg(0.027), coal(0.027), storlia(0.027)"
203,"Edvard Eidum to Alma C. Wilson 1948.1.10",1948.01.10,"Edvard Eidum","russian(0.082), greenland(0.055), fight(0.048), nations(0.048), nation(0.048), war(0.032), worse(0.030), nor(0.030), quietest(0.027), conclusion(0.027)"
204,"Ola Holm to John Holm 1948.1.16",1948.01.16,"Ola Holm","god(0.065), side(0.059), jan(0.055), bless(0.049), pens(0.047), mine(0.046), evelyn(0.044), 16-48(0.043), strength(0.043), glory(0.043)"
205,"Effie Holm to Jon Holm 1948.1.16",1948.01.16,"Effie Holm","bookmark(0.081), central(0.081), lovely(0.068), paid(0.056), 16-1-48(0.047), heating(0.047), uncle(0.043), uncles(0.041), journey(0.041), eachother(0.040)"
206,"Edvard Eidum to John Holm 1948.1.13",1948.01.13,"Edvard Eidum","california(0.049), gudrund(0.046), evjen(0.046), born(0.043), dakota(0.038), edvard(0.036), lived(0.033), mentions(0.031), bergljot(0.030), iver(0.027)"
207,"Axel Holm to Alma C. Wilson 1948.1.20",1948.01.20,"Axel Holm","bridegroom(0.072), build(0.034), mission(0.033), china(0.030), lord(0.027), customs(0.026), jesus(0.025), blood(0.025), 20-1-48(0.024), sinner(0.024)"
208,"Sonja Bakken to John Holm 1948.1.27",1948.01.27,"Sonja Bakken","sonja(0.098), verse(0.098), quote(0.061), cloudy(0.061), grieve(0.061), uneasy(0.061), peace(0.057), sing(0.053), midst(0.053), blessed(0.053)"
209,"Evelyn Fiskvik 1948.1.25",1948.01.25,"Evelyn Fiskvik","jon(0.069), 1-48(0.055), hospital(0.043), runner(0.043), evelyn(0.039), table(0.036), uncle(0.035), 25(0.035), spruces(0.032), planted(0.032)"
210,"Laura Karlson to Alma C. Wilson 1948.2.1",1948.02.01,"Laura Karlson","foreign(0.089), die(0.051), seek(0.048), importance(0.048), ours(0.043), 2-1948(0.042), convey(0.042), attack(0.042), condolences(0.038), fortune(0.038)"
211,"Ola Holm to Alma C. Wilson 1948.2.14",1948.02.14,"Ola Holm","warmest(0.070), 14-2-47(0.060), waited(0.053), jasper(0.048), journal(0.048), passing(0.048), week(0.045), problems(0.045), addrs(0.045), 48(0.043)"
212,"Olaf Holm to John Holm 1948.1.25",1948.01.25,"Olaf Holm","church(0.077), bergen(0.055), nesttun(0.044), seat(0.044), climate(0.044), main(0.039), family(0.034), acquaintances(0.033), olaf(0.032), christ(0.030)"
213,"Edvard Eidum to Alma C. Wilson 1948.2.24",1948.02.24,"Edvard Eidum","dollars(0.068), sum(0.050), 100(0.050), axel(0.043), toil(0.039), february-1948(0.029), understands(0.029), interfering(0.029), accepted(0.029), beneficence(0.029)"
214,"Ola Holm to Karoline Holm 1948.3.9",1948.03.09,"Ola Holm","statement(0.061), enclosed(0.038), bank(0.036), witnesses(0.036), deposited(0.032), axel(0.031), dak(0.027), copy(0.026), norges(0.026), money(0.025)"
215,"Stjørdalens Sparebank to Karoline Holm 1948.3.23",1948.03.23,"Stjørdalens Sparebank","signature(0.101), account(0.095), stjørdalens(0.089), norges(0.089), sparebank(0.079), inquire(0.063), disposal(0.063), consent(0.063), regulation(0.063), application(0.063)"
216,"Edvard Eidum to Alma C. Wilson 1948.2.17",1948.02.17,"Edvard Eidum","ore(0.038), understood(0.035), helped(0.034), aksel(0.032), fact(0.029), farewell(0.028), beyond(0.028), whoever(0.028), john(0.028), talk(0.026)"
217,"Evelyn Fiskvik to Alma C. Wilson",1948.03.11,"Evelyn Fiskvik","cake(0.085), tower(0.072), band(0.048), paste(0.048), wedding(0.045), brass(0.042), jon(0.040), played(0.038), ring(0.036), church(0.036)"
218,"Edvard Eidum to Alma C. Wilson",1948.03.23,"Edvard Eidum","golden(0.043), grandchildren(0.042), anniversary(0.041), married(0.030), olav(0.022), couple(0.022), hanna(0.022), hilma(0.021), eidum(0.020), completely(0.020)"
219,"Klara Krogstad to Alma C. Wilson 1948.3.30",1948.03.30,"Klara Krogstad","easter(0.117), drafted(0.058), sunny(0.058), extent(0.051), youngsters(0.051), surprises(0.046), tense(0.046), pressure(0.046), holidays(0.046), handsome(0.043)"
220,"Ola Holm to Alma C. Wilson 1948.12.18",1948.12.18,"Ola Holm","landstad(0.344), poem(0.301), p(0.275), bereth(0.257), text(0.243), psalm(0.214), wilson(0.179), card(0.175), merry(0.167), mrs(0.151)"
221,"Edvart Søberg to Alma C. Wilson 1948.4.11",1948.04.11,"Edvart Søberg","marshes(0.085), lake(0.060), mountain(0.058), arlene(0.057), seagulls(0.057), peat(0.057), dictionary(0.057), moss(0.050), property(0.042), green(0.040)"
222,"Herborg Holm to Alma C. Wilson 1948.4.2",1948.04.02,"Herborg Holm","johan(0.025), told(0.024), coffin(0.022), coffins(0.022), father(0.021), withdrawing(0.019), equally(0.018), j(0.018), wrote(0.017), james(0.016)"
223,"Laura Karlson to Alma C. Wilson 1948.4.5",1948.04.05,"Laura Karlson","darning(0.052), humankind(0.030), healthwise(0.030), manage(0.029), peace(0.028), every(0.026), 4-1948(0.026), rent(0.024), fix(0.024), distribute(0.024)"
224,"Axel Holm to Alma C. Wilson 1948.4.20",1948.04.20,"Axel Holm","estate(0.218), entitled(0.196), inheritance(0.079), 05(0.079), statement(0.076), øre(0.073), 20-4-1948(0.056), retains(0.056), undivided(0.056), possession(0.056)"
225,"Edvard Eidum to Alma C. Wilson 1948.4.29",1948.04.29,"Edvard Eidum","suspected(0.036), trickery(0.036), john(0.027), marie(0.025), shouldn(0.024), understood(0.023), cannot(0.022), nor(0.020), rather(0.018), fathom(0.018)"
226,"Klara Krogstad to Alma C. Wilson 1948.5",1948.05,"Klara Krogstad","boss(0.075), jon(0.062), 75(0.060), party(0.043), youngest(0.042), daughter(0.039), yard(0.038), 140(0.038), magnificent(0.038), carefully(0.038)"
227,"Gusta Eidum to Alma C. Wilson 1948.5.2",1948.05.02,"Gusta Eidum","aagoth(0.108), auntie(0.107), greta(0.070), 2-5-48(0.054), limping(0.054), break(0.043), personally(0.043), aunt(0.041), junior(0.038), greeting(0.034)"
228,"Axel Holm to Alma C. Wilson 1948.5.17",1948.05.17,"Axel Holm","statement(0.109), bank(0.065), whitsun(0.065), fortune(0.052), sign(0.044), public(0.044), 17(0.037), right(0.036), case(0.034), -1948(0.032)"
229,"Edvard Eidum to Alma C. Wilson 1948.6.19",1948.06.19,"Edvard Eidum","tool(0.039), dot(0.026), patterns(0.026), secret(0.021), gretha(0.021), money(0.021), olav(0.019), sorted(0.018), idea(0.018), clever(0.018)"
230,"Karen Austvoll to Christiana Wilson 1948.6.20",1948.06.20,"Karen Austvoll","wheel(0.196), itself(0.077), laziness(0.054), outline(0.054), pricking(0.054), wheels(0.054), patterns(0.048), tool(0.048), actual(0.048), shorter(0.048)"
231,"Edvard Eidum to Alma C. Wilson 1948.6.28",1948.06.28,"Edvard Eidum","especially(0.053), won(0.041), greta(0.040), school(0.033), clothing(0.033), 28-6-1948(0.031), alike(0.031), signatures(0.031), certifications(0.031), incomprehensible(0.031)"
232,"Edvard Eidum to Alma C. Wilson 1948.7.19",1948.07.19,"Edvard Eidum","gjertine(0.040), bank(0.037), olava(0.036), check(0.035), hanna(0.034), pension(0.033), evil(0.033), greta(0.030), kroner(0.025), told(0.025)"
233,"Klara Krogstad to Alma C. Wilson 1948.8.22",1948.08.22,"Klara Krogstad","boys(0.029), promised(0.023), mother(0.023), klara(0.021), jon(0.020), oldest(0.020), wear(0.019), rare(0.018), legal(0.018), 15-20(0.018)"
234,"Gretha Søberg to Alma C. Wilson 1948.9.6",1948.09.06,"Gretha Søberg","dad(0.214), martin(0.093), veggemo(0.076), mom(0.069), søberg(0.066), confirmed(0.057), 9-48(0.053), driving(0.053), petroleum(0.053), bjørgan(0.053)"
235,"Edvard Eidum to Alma C. Wilson 1948.10.28",1948.10.28,"Edvard Eidum","amount(0.045), kroner(0.036), doll(0.033), gjertine(0.029), nerves(0.027), divided(0.027), klara(0.026), johan(0.025), bit(0.025), heart(0.024)"
236,"Laura Karlson to Alma C. Wilson Card 1949.12.12",1949.12.12,"Laura Karlson","sometime(0.300), merry(0.243), mindor(0.165), happy(0.139), wish(0.121), sick(0.119), christmas(0.103), laura(0.072), write(0.050), ve(0.039)"
